Text Alternatives,"{https://www.w3.org/WAI/WCAG22/Understanding/text-alternatives}","{""Text alternatives allow people with visual impairments to access non-text content via assistive technologies like screen readers and braille displays."",""Text alternatives enable people with hearing disabilities to understand audio content."",""Text alternatives make it easier for people with cognitive disabilities to comprehend content by presenting it in a clear, text-based format instead of complex visuals.""}",Perceivable
Time-based Media,"{https://www.w3.org/WAI/WCAG22/Understanding/time-based-media}","{""Audio descriptions and transcripts help people with visual impairments understand visual content."",""Captions, transcripts and sign language interpretation enable people with hearing impairments to access audio content."",  ""Captions and transcripts assist people with cognitive disabilities in processing and understanding media.""}",Perceivable
Adaptable,"{https://www.w3.org/WAI/WCAG22/Understanding/adaptable}","{""Allows people with visual or hearing impairments to access information through alternative formats like spoken output or braille, as content can be programmatically determined and rendered in tactile or audible forms."", ""Simplified visual layouts and alternative presentations help people with cognitive disabilities understand content by reducing complexity and presenting information in a more accessible manner."", ""Facilitates access to information through various assistive technologies, adapting content for easier interaction based on physical needs.""}",Perceivable
Distinguishable,"{https://www.w3.org/WAI/WCAG22/Understanding/distinguishable}","{""Ensures high contrast between text and background for easier readability by visually impaired individuals."", ""Aids people with cognitive disabilities by making content easier to differentiate and process, reducing cognitive load associated with distinguishing between foreground and background information."", ""Helps people with hearing impairments by ensuring that important audio information stands out from background noise, improving clarity and comprehension of auditory content.""}",Perceivable
Keyboard Accessible,"{https://www.w3.org/WAI/WCAG22/Understanding/keyboard-accessible}","{""Allows users with visual impairments to navigate and interact with content using keyboard shortcuts and assistive technologies like screen readers."", ""For people with physical disabilities, it ensures access through keyboard input, which can be used with various assistive devices like switch controls and speech recognition software.""}",Operable
Enough Time,"{https://www.w3.org/WAI/WCAG22/Understanding/enough-time}","{""Ensures all users have sufficient time to read, interact with, and complete tasks on web content, accommodating various needs and input methods""}",Operable
Seizures and Physical reactions,"{https://www.w3.org/WAI/WCAG22/Understanding/seizures-and-physical-reactions}","{""Benefits users by preventing content that could trigger seizures or cause physical discomfort through flashing lights or intense stimuli.""}",Operable
Navigable,"{https://www.w3.org/WAI/WCAG22/Understanding/navigable}","{""Facilitates easy navigation for visually impaired users relying on assistive technologies by providing clear and consistent structure and labels."", ""Enhances usability for all users by providing straightforward and predictable navigation paths, reducing cognitive load.""}",Operable
Input Modalities,"{https://www.w3.org/WAI/WCAG22/Understanding/input-modalities}","{""Benefits users by ensuring all functionality is accessible through various input methods, accommodating diverse needs and preferences.""}",Operable
Readable,"{https://www.w3.org/WAI/WCAG22/Understanding/readable}","{""For users with visual impairments, supports easier content navigation and understanding when text is presented in a clear, legible format."", ""For users with cognitive impairments, improves comprehension by using clear, simple language and well-structured content, making it easier to understand.""}",Understandable
Predictable,"{https://www.w3.org/WAI/WCAG22/Understanding/predictable}","{""Improves accessibility for users using assistive technologies by maintaining consistent layout and navigation, aiding them in understanding and navigating content."", ""Helps users with cognitive disabilities by providing consistent navigation and predictable behavior, reducing confusion and making content easier to use.""}",Understandable
Input Assistance,"{https://www.w3.org/WAI/WCAG22/Understanding/input-assistance}","{""Aids users with physical disabilities by minimising irreversible errors by offering mechanisms like undo options or confirmations, thus avoiding repeating the actions from the start."", ""Reduces errors and aids in correction by providing clear instructions and error messages, helping users understand and fix mistakes.""}",Understandable
Compatible,"{https://www.w3.org/WAI/WCAG22/Understanding/compatible}","{""Benefits users by ensuring that web content works seamlessly with assistive technologies, older devices, and various browsers, enhancing accessibility and usability for all.""}",Robust
