Non-Text Content,Text Alternatives,Are text alternatives provided for all non-text content on the webpage?,"{""Open the webpage you need to evaluate in a web browser."",""Identify non-text content such as images, and interactive elements."", ""Inspect the images to ensure decorative ones have empty alt attributes (alt=''), informative ones have meaningful descriptions, and linked images describe the link�s function rather than the image itself (e.g., alt='Go to homepage')"", ""Verify that complex images (e.g., graphs, diagrams) have detailed text alternatives, either in the alt attribute or provided within the page content (e.g., captions or long descriptions)."", ""Ensure icons, buttons, and other interactive elements have accessible names or labels."", ""If there are no text-aleternatives for non-text contents, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Transcripts and Captions,Time-based Media,Are transcripts and captions provided for all audio and video content on the webpage?,"{""Open the webpage you need to evaluate in a web browser."",""Identify the audio and video content on the webpage."", ""Check if transcripts are available for the audio or video content on the webpage."", ""Verify that video content has proper captions and that the captions do not disrupt the display of the video."", ""If transcripts or captions are missing or inadequate, mark the result as 'fail' and note your observations in the text box below.""}",{}
Audio Description,Time-based Media,Does the video content on the webpage include audio descriptions that describe visual details for users who are blind or have low vision?,"{""Open the webpage you need to evaluate in a web browser."",""Locate all video content on the webpage."",""Check if the video content has proper audio descriptions that convey all visual content through an audio track and ensure it is synchronized with the visuals."",  ""If audio descriptions are missing or inadequate, mark the result as 'fail' and note your observations in the text box below.""}",{}
Sign Language Interpretation,Time-based Media,Does the webpage provide sign language interpretation for audio content?,"{""Open the webpage you need to evaluate in a web browser."",""Locate all audio and video content on the webpage."", ""Check if there is sign language interpretation available for the audio and video content either within the media or as a supplementary resource ."",""Ensure that the sign language interpretation is synchronized with the audio or video content and is not obstructing key content."",""If sign language interpretations are missing or inadequate, mark the result as 'fail' and note your observations in the text box below.""}",{}
Markups usage,Adaptable,"Are proper HTML markups used for structuring headings, input fields, lists, and tables, rather than relying solely on styling properties?","{""Open the webpage you need to evaluate in a web browser."",""Ensure that the webpage uses proper HTML markups to convey the content structure."",""Examine the page source to check that headings, lists, and other elements are used semantically. "", ""Confirm that these elements are not styled in a way that misrepresents their intended purpose."",""If you find any issues with markup usage, such as incorrect HTML tags, mark the result as 'fail' and note your observations in the text box below.""}",{}
Sensory Characteristics,Adaptable,"Is any information on the webpage conveyed solely through sensory characteristics (e.g., colour, shape, location, audio) without alternative means of representation?","{""Open the webpage you need to evaluate in a web browser."",""Review the webpage to identify elements that rely on colour, shape, location, or audio to convey information. Examples include colour-coded alerts, shape-based icons, and location-based instructions."",""Ensure that all information conveyed through these sensory characteristics is also available through alternative means. Verify that the information is not solely reliant on colour, shape, location, or audio."", ""If any information conveyed through sensory characteristics is not available in a textual format, mark the result as 'fail' and note your observations in the text box below.""}",{}
Orientation,Adaptable,Are there any restrictions or limitations in the webpage's functionality or content when viewed in different orientations (portrait or landscape)?,"{""Open the webpage you need to evaluate in a web browser. Access the developer tools and  toggle on the device toolbar by clicking the device icon."", ""Use the rotate button in the device toolbar to switch between portrait and landscape orientations."", ""Check that all content remains visible and accessible in both portrait and landscape orientations. Ensure that no content is cut off or hidden when changing orientations."",""Verify that the layout adjusts appropriately and maintains usability in both orientations. Ensure interactive elements (e.g., buttons, forms) are still functional and accessible."",""If you encounter any issues where content is lost or functionality is impaired due to orientation changes, mark the result as 'fail' and note your observations in the text box below.""}",{}
Colour,Distinguishable,Is there any content on the webpage that relies solely on colour to convey meaning or status without additional text or visual cues?,"{""Open the webpage you need to evaluate in a web browser."",""Identify elements where colour is used to convey information or meaning, such as,  Error messages or status indicators (e.g., red for errors), Navigation elements or links that are colour-coded, Charts or graphs that use colours to differentiate data."", ""Ensure that colour-coded information is also available in text or other forms."",""If any information conveyed solely through colour does not have additional textual or visual alternatives, mark the result as 'fail' and note your observations in the text box below.""}",{}
Contrast,Distinguishable,Do both text and non-text content have sufficient contrast against their backgrounds?,"{""Open the webpage you need to evaluate in a web browser."",""Run automated evaluation to quickly detect many common contrast problems."", ""Review the webpage for dynamic contents and ensure that contrast ratios are maintained for interactive elements like buttons and links in various states (e.g., hover, focus, active)."", ""If any text-background combinations are not clearly distinguishable, mark the result as 'fail'  and note your observations in the text box below.""}",{}
Audio,Distinguishable,Does the webpage contain any audio that plays automatically and could potentially disrupt or interfere with assistive technologies?,"{""Open the webpage you need to evaluate in a web browser."","" Identify if any audio or video content starts playing automatically when the page loads."",""Ensure users can pause, stop, or control the volume of the audio playback."", ""If you find any automatic audio playback or audio disruption issues, mark the result as 'fail' and note your observations in the text box below.""}",{}
Text ,Distinguishable,"Does the text on the webpage adjust correctly when users zoom in or out, or when text spacing is increased?","{""Open the webpage you need to evaluate in a web browser."",""Use the browser's zoom functionality  to resize the content."", ""Check that the layout remains intact and functional at different zoom levels. Content should adjust to fit the screen, and no horizontal scrolling should be required."",""If any text does not adjust properly when zoomed or spaced, mark the result as 'fail' and note your observations in the text box below.""}",{}
